OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
2430,2012,KIA MOTORS CORPORATION,,Automobile,GRY,12000,Saturday,N,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Sector 35,9/19/2020 5:00:00 AM,9/19/2020 5:00:00 AM,2020,"BANK ST, SOUTHKEYS SC",East,5050001.04,Evening,Jessica Bradley,200,2000,371076.4787,5024527.5742
2431,2018,LEXUS,,Automobile,WHI,,Saturday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,9/19/2020 5:00:00 AM,9/19/2020 5:00:00 AM,2020,"MISTWELL LANE, SERENADE CRES",East,5050126.04,Night,Steve Desroches,400,300,369027.7538,5014634.7089
2432,,VOLVO,,Suv,WHI,,Saturday,Y,East Industrial,Ward 11 - Beacon Hill-Cyrville,Sector 33,9/19/2020 5:00:00 AM,9/19/2020 5:00:00 AM,2020,"MICHAEL ST, PARISIEN ST E",East,5050122.02,Night,Tim Tierney,0,0,372857.917,5031357.5634
2433,2013,MERCEDES-BENZ,,Suv,WHI,,Saturday,Y,Chapman Mills - Rideau Crest - Davidson Heights,Ward 24 - Barrhaven East,Sector 16,9/19/2020 5:00:00 AM,9/19/2020 5:00:00 AM,2020,"NOBLESSE AVE N, BARONESS DR",West,5050141.08,Morning,Wilson Lo,800,800,367271.6145,5016890.483
2434,2018,LEXUS,RX300,Suv,WHI,,Saturday,N,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,9/20/2020 5:00:00 AM,9/19/2020 5:00:00 AM,2020,"SPRING VALLEY DR, KNOTRIDGE ST",East,5050125.06,Evening,Catherine Kitts,1300,2200,381974.4906,5032499.473
2435,2014,JEEP (1989 AND AFTER),GRAND CHEROKEE,Suv,WHI,,Saturday,N,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,9/20/2020 5:00:00 AM,9/19/2020 5:00:00 AM,2020,"BRUYERE ST, CUMBERLAND ST",Central,5050055.00,Evening,Stéphanie Plante,1400,2300,367999.896,5032960.5863
2436,2017,HYUNDAI,,Automobile,GRY,,Monday,Y,Centretown,Ward 14 - Somerset,Sector 23,9/21/2020 5:00:00 AM,9/21/2020 5:00:00 AM,2020,"NEPEAN ST, BANK ST",Central,5050038.00,Evening,Ariel Troster,200,2300,367563.7272,5031133.0582
2437,2018,CHEVROLET,CRUZE,Automobile,GRY,,Monday,Y,Glen Cairn - Kanata South Business Park,Ward 6 - Stittsville,Sector 13,9/21/2020 5:00:00 AM,9/21/2020 5:00:00 AM,2020,"ROUNDLEAF WAY, SQUASHBERRY LANE",West,5050162.02,Night,Glen Gower,900,100,352682.2635,5015926.6106
2438,2001,PONTIAC,,Automobile,RED,,Tuesday,Y,Centretown,Ward 14 - Somerset,Sector 23,9/22/2020 5:00:00 AM,9/22/2020 5:00:00 AM,2020,"CARTIER ST, LISGAR ST",Central,5050048.00,Evening,Ariel Troster,200,2200,368226.8989,5031436.5715
2439,,,,Trailer,,,Monday,N,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,9/22/2020 5:00:00 AM,9/21/2020 5:00:00 AM,2020,"COLUMBUS AVE, LOLA ST",Central,5050013.00,Evening,Rawlson King,1000,1800,371106.9083,5032264.5742
2440,2001,"HONDA/AMERICAN HONDA MOTOR CO.,",ACCORD,Automobile,SIL,,Sunday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,9/22/2020 5:00:00 AM,9/20/2020 5:00:00 AM,2020,"HILDA ST, ARMSTRONG ST",Central,5050046.00,Evening,Jeff Leiper,1500,2100,365628.8922,5029930.5608
